Timestamp,OperationName,Phase,DurationMs,MemoryBefore,MemoryAfter,MemoryDelta,Gen0,Gen1,Gen2
2026-01-13T10:19:23.3806130Z,ProcessImage,GPU_Pass,10.739,12642576,12708344,65768,0,0,0
2026-01-13T10:19:24.0292704Z,ProcessImage,CPU_Pass,614.367,12708344,13498928,790584,0,0,0
2026-01-13T10:19:24.1829670Z,PhotoViewer,SetImage,111.368,13507152,14673936,1166784,0,0,0
2026-01-13T10:19:24.2581140Z,ProcessImage,Complete,888.018,12642576,13498928,856352,58,34,6
2026-01-13T10:19:24.4209902Z,ProcessImage,GPU_Pass,3.529,14934352,14934352,0,0,0,0
2026-01-13T10:19:25.0212275Z,ProcessImage,CPU_Pass,570.807,14934352,13064824,-1869528,0,0,0
2026-01-13T10:19:25.1714972Z,PhotoViewer,SetImage,104.982,13064824,14244208,1179384,0,0,0
2026-01-13T10:19:25.2366614Z,ProcessImage,Complete,819.156,14934352,13064824,-1869528,80,37,6
2026-01-13T10:19:25.4156270Z,ProcessImage,GPU_Pass,2.640,14461904,14461904,0,0,0,0
2026-01-13T10:19:26.0178964Z,ProcessImage,CPU_Pass,569.705,14461904,15413024,951120,0,0,0
2026-01-13T10:19:26.1642535Z,PhotoViewer,SetImage,109.094,15413024,16579408,1166384,0,0,0
2026-01-13T10:19:26.2228637Z,ProcessImage,Complete,808.332,14461904,15413024,951120,100,38,6
2026-01-13T10:19:26.3987320Z,ProcessImage,GPU_Pass,2.809,14665736,14673936,8200,0,0,0
2026-01-13T10:19:26.9946230Z,ProcessImage,CPU_Pass,565.867,14739648,16115680,1376032,0,0,0
2026-01-13T10:19:27.1599929Z,PhotoViewer,SetImage,105.750,16257224,17446168,1188944,0,0,0
2026-01-13T10:19:27.2226519Z,ProcessImage,Complete,826.562,14665736,16115680,1449944,120,38,6
2026-01-13T10:19:27.3984893Z,ProcessImage,GPU_Pass,2.470,17544552,17544552,0,0,0,0
2026-01-13T10:19:27.9922873Z,ProcessImage,CPU_Pass,563.426,17544552,17322000,-222552,0,0,0
2026-01-13T10:19:28.1378769Z,PhotoViewer,SetImage,105.028,17322000,16702192,-619808,0,0,0
2026-01-13T10:19:28.1951284Z,ProcessImage,Complete,799.141,17544552,17322000,-222552,140,40,6
2026-01-13T10:19:28.3653257Z,ProcessImage,GPU_Pass,3.237,16782584,16790744,8160,0,0,0
2026-01-13T10:19:28.9657302Z,ProcessImage,CPU_Pass,571.287,16790744,18142288,1351544,0,0,0
2026-01-13T10:19:29.1134132Z,PhotoViewer,SetImage,107.349,18158688,19321696,1163008,0,0,0
2026-01-13T10:19:29.2194772Z,ProcessImage,Complete,857.316,16782584,18142288,1359704,159,42,6
2026-01-13T10:19:29.3934360Z,ProcessImage,GPU_Pass,3.174,19533592,19533592,0,0,0,0
2026-01-13T10:19:29.9999526Z,ProcessImage,CPU_Pass,576.483,19541704,19406224,-135480,0,0,0
2026-01-13T10:19:30.1661591Z,PhotoViewer,SetImage,115.328,19406224,20730088,1323864,0,0,0
2026-01-13T10:19:30.2285270Z,ProcessImage,Complete,838.455,19533592,19406224,-127368,178,44,6
2026-01-13T10:19:30.3980721Z,ProcessImage,GPU_Pass,2.638,20795696,20795696,0,0,0,0
2026-01-13T10:19:31.0146997Z,ProcessImage,CPU_Pass,588.291,20795696,21506952,711256,0,0,0
2026-01-13T10:19:31.1624311Z,PhotoViewer,SetImage,103.599,21515176,22707496,1192320,0,0,0
2026-01-13T10:19:31.2208558Z,ProcessImage,Complete,825.469,20795696,21506952,711256,197,45,6
2026-01-13T10:19:31.3921792Z,ProcessImage,GPU_Pass,2.793,20857360,20857360,0,0,0,0
2026-01-13T10:19:31.9893359Z,ProcessImage,CPU_Pass,569.016,20865560,22019696,1154136,0,0,0
2026-01-13T10:19:32.1387354Z,PhotoViewer,SetImage,106.450,22027920,23190928,1163008,0,0,0
2026-01-13T10:19:32.2043481Z,ProcessImage,Complete,815.004,20857360,22019696,1162336,218,45,6
2026-01-13T10:19:32.3863190Z,ProcessImage,GPU_Pass,2.449,23326888,23384408,57520,0,0,0
2026-01-13T10:19:32.9882291Z,ProcessImage,CPU_Pass,566.910,23392592,23776616,384024,0,0,0
2026-01-13T10:19:33.1263589Z,PhotoViewer,SetImage,100.136,21981784,23168376,1186592,0,0,0
2026-01-13T10:19:33.1881255Z,ProcessImage,Complete,804.282,23326888,23776616,449728,239,48,6
2026-01-13T10:19:33.3638987Z,ProcessImage,GPU_Pass,2.575,23266784,23266784,0,0,0,0
2026-01-13T10:19:33.9863884Z,ProcessImage,CPU_Pass,588.173,23266784,23910336,643552,0,0,0
2026-01-13T10:19:34.1292768Z,PhotoViewer,SetImage,96.421,24108168,25278008,1169840,0,0,0
2026-01-13T10:19:34.1875261Z,ProcessImage,Complete,826.380,23266784,23910336,643552,258,50,6
2026-01-13T10:19:34.3607727Z,ProcessImage,GPU_Pass,2.479,25376320,25376320,0,0,0,0
2026-01-13T10:19:34.9636904Z,ProcessImage,CPU_Pass,574.382,25376320,26179784,803464,0,0,0
2026-01-13T10:19:35.0983726Z,PhotoViewer,SetImage,95.262,26196160,27381016,1184856,0,0,0
2026-01-13T10:19:35.1622980Z,ProcessImage,Complete,804.176,25376320,26179784,803464,277,52,6
2026-01-13T10:19:35.3277657Z,ProcessImage,GPU_Pass,3.273,27592016,27600240,8224,0,0,0
2026-01-13T10:19:35.9845758Z,ProcessImage,CPU_Pass,623.090,27600240,28709904,1109664,0,0,0
2026-01-13T10:19:36.1171924Z,PhotoViewer,SetImage,95.786,28718128,29916224,1198096,0,0,0
2026-01-13T10:19:36.1751312Z,ProcessImage,Complete,850.660,27592016,28709904,1117888,297,54,6
2026-01-13T10:19:36.3446456Z,ProcessImage,GPU_Pass,2.642,30137656,30137656,0,0,0,0
2026-01-13T10:19:36.9952287Z,ProcessImage,CPU_Pass,619.863,30137656,31068512,930856,0,0,0
2026-01-13T10:19:37.1333190Z,PhotoViewer,SetImage,95.064,31076736,27480112,-3596624,0,0,0
2026-01-13T10:19:37.1913076Z,ProcessImage,Complete,849.369,30137656,31068512,930856,318,55,6
2026-01-13T10:19:37.3601153Z,ProcessImage,GPU_Pass,3.156,27730120,27730120,0,0,0,0
2026-01-13T10:19:37.9661329Z,ProcessImage,CPU_Pass,578.001,27730120,28172752,442632,0,0,0
2026-01-13T10:19:38.0977266Z,PhotoViewer,SetImage,93.261,28189200,29358096,1168896,0,0,0
2026-01-13T10:19:38.1550567Z,ProcessImage,Complete,798.123,27730120,28172752,442632,338,57,6
2026-01-13T10:19:38.3206842Z,ProcessImage,GPU_Pass,2.429,29480656,29480656,0,0,0,0
2026-01-13T10:19:38.9479557Z,ProcessImage,CPU_Pass,597.903,29480656,30391872,911216,0,0,0
2026-01-13T10:19:39.0796360Z,PhotoViewer,SetImage,94.827,30582056,31774680,1192624,0,0,0
2026-01-13T10:19:39.1410932Z,ProcessImage,Complete,822.886,29480656,30391872,911216,356,58,6
2026-01-13T10:19:39.3059900Z,ProcessImage,GPU_Pass,4.132,31873152,31873152,0,0,0,0
2026-01-13T10:19:39.9023702Z,ProcessImage,CPU_Pass,561.882,31881336,31642264,-239072,0,0,0
2026-01-13T10:19:40.0338080Z,PhotoViewer,SetImage,95.129,31650488,32844560,1194072,0,0,0
2026-01-13T10:19:40.0958183Z,ProcessImage,Complete,794.038,31873152,31642264,-230888,375,59,6
2026-01-13T10:19:40.2694335Z,ProcessImage,GPU_Pass,2.379,32967128,32967128,0,0,0,0
2026-01-13T10:19:40.8677727Z,ProcessImage,CPU_Pass,567.892,33032512,32796872,-235640,0,0,0
2026-01-13T10:19:40.9992334Z,PhotoViewer,SetImage,95.571,32986736,34174408,1187672,0,0,0
2026-01-13T10:19:41.0606810Z,ProcessImage,Complete,793.691,32967128,32796872,-170256,394,63,6
2026-01-13T10:19:41.2314120Z,ProcessImage,GPU_Pass,2.788,-35239456,-35239456,0,0,0,0
2026-01-13T10:19:41.8665352Z,ProcessImage,CPU_Pass,606.208,-35239456,-26672936,8566520,0,0,0
2026-01-13T10:19:42.0004943Z,PhotoViewer,SetImage,93.533,-26656520,-25473968,1182552,0,0,0
2026-01-13T10:19:42.0639330Z,ProcessImage,Complete,835.352,-35239456,-26672936,8566520,417,76,7
2026-01-13T10:19:42.2427523Z,ProcessImage,GPU_Pass,3.060,-25252592,-25252592,0,0,0,0
2026-01-13T10:19:42.8594010Z,ProcessImage,CPU_Pass,584.571,-25252592,11994768,37247360,0,0,0
2026-01-13T10:19:42.9958386Z,PhotoViewer,SetImage,96.534,12011216,13161552,1150336,0,0,0
2026-01-13T10:19:43.0591598Z,ProcessImage,Complete,819.520,-25252592,11994768,37247360,439,76,7
2026-01-13T10:19:43.7909401Z,ProcessImage,GPU_Pass,3.074,13989992,13998176,8184,0,0,0
2026-01-13T10:19:44.3816658Z,ProcessImage,CPU_Pass,558.416,13998176,14370056,371880,0,0,0
2026-01-13T10:19:44.4359363Z,PhotoViewer,SetImage,13.244,14378280,14386504,8224,0,0,0
2026-01-13T10:19:44.5033892Z,ProcessImage,Complete,715.550,13989992,14370056,380064,458,77,7
2026-01-13T10:19:44.6766076Z,ProcessImage,GPU_Pass,2.392,14584200,14584200,0,0,0,0
2026-01-13T10:19:45.3541398Z,ProcessImage,CPU_Pass,643.122,14592112,13018680,-1573432,0,0,0
2026-01-13T10:19:45.4754733Z,PhotoViewer,SetImage,75.615,13018680,13637272,618592,0,0,0
2026-01-13T10:19:45.5481848Z,ProcessImage,Complete,873.994,14584200,13018680,-1565520,480,82,7
2026-01-13T10:19:45.7526067Z,ProcessImage,GPU_Pass,2.640,13767768,13767768,0,0,0,0
2026-01-13T10:19:46.3674208Z,ProcessImage,CPU_Pass,578.061,13825168,12659104,-1166064,0,0,0
2026-01-13T10:19:46.5020220Z,PhotoViewer,SetImage,93.980,12667328,13285936,618608,0,0,0
2026-01-13T10:19:46.5639830Z,ProcessImage,Complete,814.030,13767768,12659104,-1108664,500,84,7
2026-01-13T10:19:46.7451002Z,ProcessImage,GPU_Pass,2.669,13417296,13417296,0,0,0,0
2026-01-13T10:19:47.3316762Z,ProcessImage,CPU_Pass,556.016,13466448,16016992,2550544,0,0,0
2026-01-13T10:19:47.4723964Z,PhotoViewer,SetImage,100.951,16016992,16685496,668504,0,0,0
2026-01-13T10:19:47.5392931Z,ProcessImage,Complete,796.939,13417296,16016992,2599696,520,86,7
2026-01-13T10:19:47.7198462Z,ProcessImage,GPU_Pass,2.286,13641072,13641072,0,0,0,0
2026-01-13T10:19:48.3042979Z,ProcessImage,CPU_Pass,554.748,13649272,15033200,1383928,0,0,0
2026-01-13T10:19:48.4536280Z,PhotoViewer,SetImage,105.657,15041424,16190528,1149104,0,0,0
2026-01-13T10:19:48.5188357Z,ProcessImage,Complete,801.303,13641072,15033200,1392128,540,88,7
2026-01-13T10:19:48.6978811Z,ProcessImage,GPU_Pass,2.410,16313632,16371120,57488,0,0,0
2026-01-13T10:19:49.2913414Z,ProcessImage,CPU_Pass,563.322,16371120,16950992,579872,0,0,0
